Parameter Set,n,r,log2_D_FT,log2_G_FT,log2_T_FT,log2_D_FT_per_success,log2_G_FT_per_success,log2_T_FT_per_success
Kyber-256-k1,256,37,76.69248275861584,84.3445256323953,82.34025942503935,101.03682275197953,108.688865625759,106.68459941840304
ML-KEM-512,512,96,155.2692964321419,163.65256246627814,161.52763004875874,184.7088683695482,193.09213440368444,190.96720198616504
ML-KEM-768,768,185,236.41635519257693,245.35712772860012,243.1098905585515,250.88492718632602,259.8256997223492,257.5784625523006
ML-KEM-1024,1024,261,321.4308730412238,330.7038344755011,328.4074734177859,342.24106791481694,351.51402934909424,349.2176682913791
