model_version,n,r,reduced_dimension,block_size,gsa_tail_dimension,delta,prob_log2,T_red_log2,T_hyb_log2,total_cost_log2,valid,evaluated_candidates,qubit_upper_bound,qubit_upper_bound_log2,QSearch_Toffoli_depth_log2,QSearch_Toffoli_count_log2,QSearch_Gate_depth_log2,QSearch_Gate_count_log2,Hybrid_Toffoli_depth_per_success_log2,Hybrid_Toffoli_count_per_success_log2,Hybrid_Gate_depth_per_success_log2,Hybrid_Gate_count_per_success_log2,Toffoli_cost_log2_hyp,log2_L_rotation_budget,rotation_count_log2,rotation_count_with_initial_log2,rotation_precision_bits,rotation_T_per_gate,rotation_CliffordT_ops_per_gate,rotation_T_count_log2,QSearch_FT_depth_log2,QSearch_FT_gate_count_log2,QSearch_FT_T_count_log2,FT_rotation_replacement_includes_initial_TP,Hybrid_FT_depth_per_success_log2,Hybrid_FT_gate_count_per_success_log2,Hybrid_FT_T_count_per_success_log2,FT_MAXDEPTH_h40_gate_count_log2,NIST_AES_reference_h40_log2,FT_MAXDEPTH_h64_gate_count_log2,NIST_AES_reference_h64_log2,FT_MAXDEPTH_h96_gate_count_log2,NIST_AES_reference_h96_log2
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,256,37,475,135,474,1.0079125300646743,-24.34433999336369,71.50619956956841,73.18067500342234,97.91818953580436,True,45,197792,17.59362454970607,73.18067500342234,79.53289492150567,75.32032058912418,83.34877918385601,97.52501499678604,103.87723491486936,99.66466058248788,107.6931191772197,103.87723491486936,48.18084482812533,57.19765311581189,57.19765311581189,59,246,497,65.14016762115114,76.69248275861584,84.3445256323953,82.34025942503935,0,101.03682275197953,108.688865625759,106.68459941840304,145.38134838437483,,121.38134838437483,,108.688865625759,
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,96,928,408,927,1.003927754072541,-29.439571937406296,151.06640633709907,151.7735598249121,181.9024555230804,True,318,614709,19.22954408226671,151.7735598249121,158.7202641306876,153.87124671736257,162.76753306325338,181.2131317623184,188.1598360680939,183.31081865476887,192.20710500065968,188.1598360680939,125.00975955405491,135.40207697683365,135.40207697683365,137,558,1121,144.52619828866284,155.2692964321419,163.65256246627814,161.52763004875874,0,184.7088683695482,193.09213440368444,190.96720198616504,308.36143083582635,130.0,284.36143083582635,106.0,252.36143083582635,74.0
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,768,185,1351,691,1325,1.002693026392171,-14.468571993749103,233.89374005421303,232.89082270619,248.9463027546749,True,637,1235458,20.23661453569977,232.89082270619,240.3025245257223,235.06575547006773,244.5681295399669,247.35939469993912,254.7710965194714,249.5343274638168,259.036701533716,254.7710965194714,205.00006593577598,216.3388023183499,216.3388023183499,218,882,1769,226.12343716390743,236.4163551925769,245.35712772860012,243.1098905585515,0,250.884927186326,259.8256997223492,257.5784625523006,456.24205491492614,193.0,432.24205491492614,169.0,400.24205491492614,137.0
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,261,1787,981,1728,1.0020730050388724,-20.81019487359316,318.8252489204838,317.9108546516111,340.2495096054625,True,980,2104173,21.00482189371751,317.9108546516111,325.6001082321252,320.0716883338594,329.94956893977974,338.72104952520425,346.4103031057184,340.8818832074526,350.7597638133729,346.4103031057184,289.21630923912176,301.05157015774927,301.05157015774927,303,1222,2449,311.306598727568,321.4308730412238,330.7038344755011,328.4074734177859,0,342.24106791481694,351.51402934909424,349.2176682913791,632.944902390318,258.0,608.944902390318,234.0,576.944902390318,202.0
