model_version,n,r,reduced_dimension,block_size,gsa_tail_dimension,delta,prob_log2,T_red_log2,T_hyb_log2,total_cost_log2,valid,evaluated_candidates
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,1,1023,402,1022,1.003968375872997,-145.41480962871373,149.80495824277378,26.46234432457676,295.21976787148753,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,2,1022,402,1021,1.003968375872997,-143.76947336367775,149.80354729396606,27.88167830904809,293.57302065764384,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,3,1021,402,1020,1.003968375872997,-142.13335612385848,149.80213496390624,29.20131268493846,291.9354910877647,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,4,1020,402,1019,1.003968375872997,-140.5064750889651,149.8007212498873,30.597186433148927,290.30719633885235,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,5,1019,402,1018,1.003968375872997,-138.88884736432973,149.79930614919425,31.934120209749416,288.68815351352396,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,6,1018,402,1017,1.003968375872997,-137.28048997756565,149.79788965910413,33.25231463055562,287.07837963666975,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,7,1017,402,1016,1.003968375872997,-135.6814198751514,149.7741039638575,34.570283091833964,285.4555238390089,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,8,1016,402,1015,1.003968375872997,-134.09165391893782,149.77268468677215,35.99151570372773,283.86433860571,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,9,1015,402,1014,1.003968375872997,-132.5112088825807,149.77126401207252,37.3248162286427,282.2824728946532,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,10,1014,402,1013,1.003968375872997,-130.94010144789127,149.76984193700332,38.64126939181631,280.7099433848946,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,11,1013,402,1012,1.003968375872997,-129.37834820110788,149.76841845880114,39.95748199596176,279.146766659909,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,12,1012,402,1011,1.003968375872997,-127.8259656290876,149.7669935746943,41.289222319442864,277.5929592037819,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,13,1011,402,1010,1.003968375872997,-126.28297011541164,149.765567281903,42.604934215592806,276.04853739731465,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,14,1010,402,1009,1.003968375872997,-124.74937793640892,149.74141950113906,43.920474446995115,274.490797437548,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,15,1009,402,1008,1.003968375872997,-123.22520525709038,149.73999038260627,45.25091821574456,272.9651956396966,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,16,1008,402,1007,1.003968375872997,-121.7104681269992,149.73855984699983,46.63172652279766,271.449027973999,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,17,1007,402,1006,1.003968375872997,-120.20518247596786,149.7371278915067,47.946415837783064,269.94231036747453,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,18,1006,402,1005,1.003968375872997,-118.7093641097871,149.73569451330545,49.26095723572695,268.44505862309256,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,19,1005,402,1004,1.003968375872997,-117.22302870578014,149.7342597095662,50.58944439000709,266.95728841534634,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,20,1004,402,1003,1.003968375872997,-115.74619180828473,149.7328234774507,51.903561734670006,265.47901528573544,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,21,1003,402,1002,1.003968375872997,-114.2788688240367,149.7313858141121,53.21754215630117,264.0102546381488,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,22,1002,402,1001,1.003968375872997,-112.821075017459,149.70686310358207,54.544947952726204,262.5279381210411,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,23,1001,402,1000,1.003968375872997,-111.37282550584874,149.70542256922286,55.8585354281732,261.0782480750716,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,24,1000,402,999,1.003968375872997,-109.93413525446466,149.70398059504896,57.17199576961441,259.6381158495136,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,25,999,402,998,1.003968375872997,-108.50501907151174,149.70253717817928,58.49837204430574,258.20755624969104,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,26,998,402,997,1.003968375872997,-107.08549160302125,149.70109231572414,59.81139629341915,256.7865839187454,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,27,997,402,996,1.003968375872997,-105.67556732762404,149.69964600478505,61.124309553077666,255.3752133324091,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,28,996,402,995,1.003968375872997,-104.27526055121767,149.69819824245494,62.43713565145988,253.9734587936726,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,29,995,402,994,1.003968375872997,-102.88458540152088,149.69674902581787,63.76238027707566,252.58133442733873,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,30,994,402,993,1.003968375872997,-101.50355582251953,149.67183937912517,65.07490560400691,251.1753952016447,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,31,993,402,992,1.003968375872997,-100.13218556879679,149.67038724509126,66.3873222524033,249.80257281388805,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,32,992,402,991,1.003968375872997,-98.77048819975009,149.66893364794976,67.77116973421218,248.43942184769986,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,33,991,402,990,1.003968375872997,-97.4184770736892,149.66747858474938,69.08312498113865,247.0859556584386,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,34,990,402,989,1.003968375872997,-96.07616534181727,149.66602205252985,70.39485230020226,245.74218739434713,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,35,989,402,988,1.003968375872997,-94.74356594208977,149.66456404832198,71.70650352027846,244.40812999041174,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,36,988,402,987,1.003968375872997,-93.42069159295163,149.66310456914755,73.0296023651168,243.0837961620992,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,37,987,402,986,1.003968375872997,-92.10755478694946,149.6377968700649,74.34108012772576,241.74535165701437,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,38,986,402,985,1.003968375872997,-90.80416778421855,149.63633443198643,75.65246620512892,240.44050221620498,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,39,985,402,984,1.003968375872997,-89.51054260584017,149.63487050995226,76.97484567384778,239.14541311579245,True,312
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,40,984,403,983,1.0039615398122372,-87.34277551089636,149.92540510094776,78.28590888700381,237.26818061184412,True,313
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,41,983,403,982,1.0039615398122372,-86.07659896287686,149.92393820194908,79.59694396926167,236.00053716482594,True,313
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,42,982,403,981,1.0039615398122372,-84.82021039687633,149.9224698099232,80.9185785298624,234.74268020679955,True,313
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,512,43,981,403,980,1.0039615398122372,-83.57362057623641,149.8967523755811,82.22935095468557,233.4703729518175,True,313
