Parameter Set,n,r,log2_L,log2_N_R,b_rot,T_R_per_rotation,log2_N_R_T_R
Kyber-256-k1,256,37,48.18084482812533,57.19765311581189,59,246,65.14016762115114
ML-KEM-512,512,96,125.00975955405491,135.40207697683365,137,558,144.52619828866284
ML-KEM-768,768,185,205.00006593577598,216.3388023183499,218,882,226.12343716390743
ML-KEM-1024,1024,261,289.21630923912176,301.05157015774927,303,1222,311.306598727568
