model_version,n,r,reduced_dimension,block_size,gsa_tail_dimension,delta,prob_log2,T_red_log2,T_hyb_log2,total_cost_log2,valid,evaluated_candidates
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,1,2047,1040,2046,1.0019831377448072,-215.31732651899202,336.5055601417255,27.385995286074436,551.8228866607175,True,906
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,2,2046,1040,2045,1.0019831377448072,-213.936342957423,336.5048551844474,28.589923922705957,550.4411981418705,True,907
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,3,2045,1040,2044,1.0019831377448072,-212.55994301498515,336.5041498825312,29.716045369713704,549.0640928975163,True,907
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,4,2044,1040,2043,1.0019831377448072,-211.1881298430508,336.5034442356397,30.915767782737582,547.6915740786905,True,907
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,5,2043,1040,2042,1.0019831377448072,-209.82090657282913,336.5027382434353,32.05888726004913,546.3236448162645,True,907
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,6,2042,1040,2041,1.0019831377448072,-208.4582763150652,336.5020319055799,33.18366077395436,544.9603082206451,True,908
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,7,2041,1040,2040,1.0019831377448072,-207.10024215973834,336.5013252217348,34.308219195870024,543.6015673814732,True,908
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,8,2040,1040,2039,1.0019831377448072,-205.74680717575686,336.50061819156093,35.53164724661923,542.2474253673178,True,908
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,9,2039,1040,2038,1.0019831377448072,-204.3979744106498,336.4999108147187,36.655116859419905,540.8978852253686,True,908
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,10,2038,1040,2037,1.0019831377448072,-203.05374689025555,336.4992030908679,37.778401793193446,539.5529499811234,True,909
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,11,2037,1040,2036,1.0019831377448072,-201.7141276184079,336.498495019668,38.90150613697133,538.2126226380759,True,909
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,12,2036,1040,2035,1.0019831377448072,-200.37911957661888,336.4977866007778,40.02443387094274,536.8769061773967,True,909
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,13,2035,1040,2034,1.0019831377448072,-199.0487257237563,336.4970778338557,41.14718876824788,535.545803557612,True,909
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,14,2034,1040,2033,1.0019831377448072,-197.72294899572427,336.49636871855955,42.285095052692384,534.2193177142838,True,910
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,15,2033,1040,2032,1.0019831377448072,-196.40179230513246,336.46171192262346,43.407354077956256,532.8635042277559,True,910
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,16,2032,1040,2031,1.0019831377448072,-195.08525854096857,336.4610021095509,44.59283235942384,531.5462606505195,True,910
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,17,2031,1040,2030,1.0019831377448072,-193.77335056826436,336.4602919470749,45.71451018133696,530.2336425153393,True,910
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,18,2030,1040,2029,1.0019831377448072,-192.4660712277612,336.45958143485126,46.836062139070016,528.9256526626125,True,910
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,19,2029,1040,2028,1.0019831377448072,-191.1634233355677,336.4588705725354,47.957469801080194,527.6222939081031,True,911
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,20,2028,1040,2027,1.0019831377448072,-189.8654096828195,336.4581593597821,49.07873599292859,526.3235690426015,True,911
2026-08-15-k-dimension-gsa-det-cbd-moment-v1,1024,21,2027,1040,2026,1.0019831377448072,-188.57203303533356,336.4574477962456,50.19986345760971,525.0294808315791,True,911
